n1,n2,weight
Surface Technology Systems Plc,Surface Technology Systems Plc,1
University of Glamorgan,University of South Wales,2
University of Glamorgan,National Slate Museum Wales,1
University of Glamorgan,Glamorgan Cricket Club,1
University of Glamorgan,University of Glamorgan,1
University of Glamorgan,National Museum Wales,4
University of Glamorgan,Cardiff Council,1
University of Glamorgan,WJEC,1
University of Glamorgan,National Waterfront Museum,1
University of Glamorgan,CWVYS,1
University of Glamorgan,Cardiff University,1
University of Glamorgan,RCAHMW,1
University of Glamorgan,Swansea NHS Trust,1
University of Glamorgan,Swansea University,2
University of Glamorgan,Techniquest,1
University of Glamorgan,Dwr Cymru Welsh Water,1
University of Glamorgan,Cynon Valley Museum & Gallery,1
University of Glamorgan,The National Library of Wales,1
Natural Resources Wales,Dwr Cymru Welsh Water,4
Natural Resources Wales,The Emergency Planning Society,1
Natural Resources Wales,Natural Resources Wales,1
Natural Resources Wales,Bangor University,1
Natural Resources Wales,Welsh Local Government Association,1
Natural Resources Wales,Cardiff Metropolitan University,1
Natural Resources Wales,SRK Consulting UK Ltd,1
Natural Resources Wales,Aberystwyth University,1
Natural Resources Wales,Cardiff University,3
Natural Resources Wales,Afonydd Cymru,2
Natural Resources Wales,Public Health Wales,1
Natural Resources Wales,Countryside Council for Wales,3
Natural Resources Wales,Welsh Government,4
Natural Resources Wales,Public Health Wales NHS Trust,1
Natural Resources Wales,PLANED,1
Alun Griffiths (Contractors) Limited,Cardiff University,1
Cardiff Metropolitan University,Higher Education Funding Council - Wales,1
Cardiff Metropolitan University,Dwr Cymru Welsh Water,1
Cardiff Metropolitan University,Public Health Wales,1
Cardiff Metropolitan University,Welsh Government,2
Cardiff Metropolitan University,PDR National Centre for Product  Design,2
Cardiff Metropolitan University,Gwalia Housing Society Ltd,1
Cardiff Metropolitan University,Cardiff Metropolitan University,2
Cardiff Metropolitan University,Cardiff University,1
Ebbw Vale & District Trust,The Bevan Foundation,1
Ebbw Vale & District Trust,Deaf Access Cymru (DAC),1
Ebbw Vale & District Trust,3Gs Development Trust,1
Ebbw Vale & District Trust,Cwmaman Communities First,1
URSULA Agriculture Ltd,Aberystwyth University,1
Cardiff Capital Region Board,Cardiff Council,1
National Welsh College,Aberystwyth University,1
National Welsh College,The National Library of Wales,2
BBInternational (British Biocell),MSM Anglesey Ltd,1
BBInternational (British Biocell),Cardiff University,1
SPTS Technologies,Swansea NHS Trust,1
SPTS Technologies,HAEMAIR LTD,2
SPTS Technologies,Swansea University,2
SPTS Technologies,Morriston Hospital,1
SPTS Technologies,Haemometrics Ltd,1
SPTS Technologies,Cardiff University,1
SPECIFIC (Innovation and Knowledge Ctr),Swansea University,1
SPECIFIC (Innovation and Knowledge Ctr),Dow Corning Ltd,1
Haemometrics Ltd,Morriston Hospital,1
Haemometrics Ltd,Swansea NHS Trust,1
Haemometrics Ltd,HAEMAIR LTD,2
Haemometrics Ltd,Swansea University,1
University of South Wales,S4C,1
University of South Wales,R-Tech Services Ltd,1
University of South Wales,Vale Europe Ltd,1
University of South Wales,National Museum Wales,1
University of South Wales,Royal Television Society Wales,1
University of South Wales,National Research Network,1
University of South Wales,Sandvik Materials Technology,1
University of South Wales,Swansea University,3
University of South Wales,Cogent Power Ltd,1
University of South Wales,HPC Wales,1
University of South Wales,Cardiff University,2
University of South Wales,Weartech International Ltd,1
Cardiff & Vale University Health Board,Public Health Wales NHS Trust,4
Cardiff & Vale University Health Board,Abertawe Bro Morgannwg University Health Board,2
Cardiff & Vale University Health Board,Swansea University,2
Cardiff & Vale University Health Board,Cardiff University,12
Royal Com Ancient & Historical Monuments,Aberystwyth University,1
Boots Centre for Innovation BCI,Abertawe Bro Morgannwg NHS Trust,2
Boots Centre for Innovation BCI,Swansea NHS Trust,1
Boots Centre for Innovation BCI,Swansea University,2
S&C Electric Europe Limited,INEXUS,1
S&C Electric Europe Limited,Cardiff University,1
Fram3,South Wales Police,1
Fram3,Accelero Digital Solutions Ltd,1
Fram3,Blurrt,1
Fram3,We Predict Ltd,1
Fram3,Drivers & Vehicle Licensing Agency,1
Fram3,ABM University NHS Trust,1
Fram3,City and County of Swansea,1
Fram3,Swansea University,1
Fram3,SymlConnect,1
Fram3,Leadin UK,1
Fram3,Gwalia Housing Society Ltd,1
Fram3,Protect 2020 Ltd,1
INEXUS,Cardiff University,1
Public Health Wales,Dwr Cymru Welsh Water,1
Public Health Wales,Arts Council of Wales,1
Arts Council of Wales,Bangor University,1
Arts Council of Wales,Denbighshire County Council,1
Centre for Regeneration Excellence Wales,Butetown History and Arts Centre,1
Centre for Regeneration Excellence Wales,3Gs Development Trust,1
Centre for Regeneration Excellence Wales,Welsh Government,1
Centre for Regeneration Excellence Wales,Cardiff Council,1
Centre for Regeneration Excellence Wales,Public Health Wales NHS Trust,2
Centre for Regeneration Excellence Wales,The National Library of Wales,1
Centre for Regeneration Excellence Wales,National Theatre Wales,2
Centre for Regeneration Excellence Wales,Cardiff University,1
Welsh Automotive Forum,Utility Partnership Ltd,1
Mabey Bridge Ltd,Power Units M & E Engineering Ltd,1
Mabey Bridge Ltd,Cardiff University,1
Mabey Bridge Ltd,Tidal Energy Limited,1
Glamorgan-Gwent Archaeological Trust,National Museum Wales,2
Glamorgan-Gwent Archaeological Trust,City and County of Swansea,3
Glamorgan-Gwent Archaeological Trust,National Waterfront Museum,2
Glamorgan-Gwent Archaeological Trust,Swansea University,2
North Abergavenny Communities First,Abergavenny Community Centre,2
North Abergavenny Communities First,Cardiff University,2
Angela Ash Associates,Swansea University,1
Innovis Genetics Ltd,Welsh Country Foods Ltd,1
Innovis Genetics Ltd,Suffolk Sire Reference Scheme Limited,1
Innovis Genetics Ltd,Hybu Cig Cymru,1
Innovis Genetics Ltd,Aberystwyth University,1
yellobrick,Abersychan and Garndiffaith Local Histor,1
yellobrick,Cardiff University,1
Sentomol,Myco Solutions,1
Sentomol,Lisk & Jones Consultants Ltd,1
Sentomol,Swansea University,1
Sentomol,Maelor Forest Nurseries Ltd,1
The Bevan Foundation,Deaf Access Cymru (DAC),1
The Bevan Foundation,3Gs Development Trust,1
The Bevan Foundation,Cwmaman Communities First,1
Protect 2020 Ltd,South Wales Police,1
Protect 2020 Ltd,Accelero Digital Solutions Ltd,1
Protect 2020 Ltd,Blurrt,1
Protect 2020 Ltd,We Predict Ltd,1
Protect 2020 Ltd,ABM University NHS Trust,1
Protect 2020 Ltd,City and County of Swansea,1
Protect 2020 Ltd,SymlConnect,1
Protect 2020 Ltd,Swansea University,1
Protect 2020 Ltd,Gwalia Housing Society Ltd,1
Protect 2020 Ltd,Leadin UK,1
Protect 2020 Ltd,Drivers & Vehicle Licensing Agency,1
S4C,Royal Television Society Wales,1
Agroceutical Products,Bangor University,2
Accelero Digital Solutions Ltd,South Wales Police,1
Accelero Digital Solutions Ltd,Blurrt,1
Accelero Digital Solutions Ltd,We Predict Ltd,1
Accelero Digital Solutions Ltd,Drivers & Vehicle Licensing Agency,1
Accelero Digital Solutions Ltd,ABM University NHS Trust,1
Accelero Digital Solutions Ltd,City and County of Swansea,1
Accelero Digital Solutions Ltd,Swansea University,1
Accelero Digital Solutions Ltd,SymlConnect,1
Accelero Digital Solutions Ltd,Leadin UK,1
Accelero Digital Solutions Ltd,Gwalia Housing Society Ltd,1
Y Lolfa Publishers,University of Wales,1
Y Lolfa Publishers,WJEC,1
Y Lolfa Publishers,Welsh Government,1
Y Lolfa Publishers,Cardiff University,1
Glamorgan Cricket Club,National Slate Museum Wales,1
Glamorgan Cricket Club,National Museum Wales,1
Glamorgan Cricket Club,National Waterfront Museum,1
Glamorgan Cricket Club,Cynon Valley Museum & Gallery,1
Glamorgan Cricket Club,The National Library of Wales,1
3Gs Development Trust,Cardiff Council,1
3Gs Development Trust,National Theatre Wales,2
3Gs Development Trust,Cardiff University,1
3Gs Development Trust,Public Health Wales NHS Trust,2
3Gs Development Trust,Welsh Government,1
3Gs Development Trust,Butetown History and Arts Centre,1
3Gs Development Trust,Deaf Access Cymru (DAC),1
3Gs Development Trust,Cwmaman Communities First,1
3Gs Development Trust,The National Library of Wales,1
Seren Photonics Ltd,LUX-TSI,1
Seren Photonics Ltd,IQE Silicon Compounds Ltd,1
Seren Photonics Ltd,Science Made Simple,1
Seren Photonics Ltd,Cardiff University,1
Cardiff University,Dwr Cymru Welsh Water,4
Cardiff University,Welsh Government,13
Cardiff University,Cardiff University,81
Cardiff University,IQE Silicon Compounds Ltd,4
Cardiff University,WISERD,1
Cardiff University,Neath Port Talbot County,1
Cardiff University,Sandvik Materials Technology,1
Cardiff University,Pulse Medical Technologies Ltd,1
Cardiff University,Ruskinn Technology Ltd,1
Cardiff University,R-Tech Services Ltd,1
Cardiff University,Suterra UK,1
Cardiff University,Iqe (Europe) Ltd,2
Cardiff University,Royal Mint (The),1
Cardiff University,LUX-TSI,1
Cardiff University,Welsh Language Board BYIG WLB,1
Cardiff University,SRK Consulting UK Ltd,1
Cardiff University,Cardiff Council,5
Cardiff University,QMC Instruments Ltd,2
Cardiff University,Wiltan Limited,1
Cardiff University,Fusion,3
Cardiff University,Science Made Simple,8
Cardiff University,Swansea University,32
Cardiff University,Bangor University,11
Cardiff University,Chapter Arts Centre,2
Cardiff University,Ely & Caerau Communities First,1
Cardiff University,University of Wales,7
Cardiff University,Welsh National Opera,1
Cardiff University,Monmouthshire County Council,1
Cardiff University,SeeScience,1
Cardiff University,National Research Network,1
Cardiff University,Lisk & Jones Consultants Ltd,1
Cardiff University,Abergavenny Chronicle,1
Cardiff University,Abersychan and Garndiffaith Local Histor,1
Cardiff University,Cogent Power Ltd,2
Cardiff University,Butetown History and Arts Centre,1
Cardiff University,HPC Wales,1
Cardiff University,Abergavenny Museum,1
Cardiff University,Abergavenny Community Centre,2
Cardiff University,Weartech International Ltd,1
Cardiff University,PetroStrat Ltd,1
Cardiff University,Higher Education Funding Council - Wales,4
Cardiff University,Vale Europe Ltd,1
Cardiff University,National Museum Wales,7
Cardiff University,WJEC,1
Cardiff University,National Theatre Wales,2
Cardiff University,Aberystwyth University,3
Cardiff University,Tidal Energy Limited,2
Cardiff University,Afonydd Cymru,2
Cardiff University,Hybu Cig Cymru,1
Cardiff University,Countryside Council for Wales,3
Cardiff University,Power Units M & E Engineering Ltd,1
Cardiff University,Qioptiq Ltd,1
Cardiff University,The Do Lectures Ltd,1
Cardiff University,Public Health Wales NHS Trust,7
Cardiff University,Literature Wales,1
Cardiff University,The National Library of Wales,1
IQE Silicon Compounds Ltd,Dow Corning Ltd,1
IQE Silicon Compounds Ltd,LUX-TSI,1
IQE Silicon Compounds Ltd,Mesuro,1
IQE Silicon Compounds Ltd,Qioptiq Ltd,1
IQE Silicon Compounds Ltd,International Rectifier,1
IQE Silicon Compounds Ltd,Science Made Simple,2
Sandvik Materials Technology,Swansea University,1
Sandvik Materials Technology,Vale Europe Ltd,1
Sandvik Materials Technology,National Research Network,1
Sandvik Materials Technology,HPC Wales,1
Sandvik Materials Technology,Cogent Power Ltd,1
Sandvik Materials Technology,Weartech International Ltd,1
Sandvik Materials Technology,R-Tech Services Ltd,1
WISERD,Welsh Government,1
Flooring Technologies Ltd,Swansea University,1
Ynni Da,Cynnal Cymru - Sustain Wales,1
Ynni Da,Awel Aman Tawe,1
Ynni Da,National Theatre Wales,1
Awel Aman Tawe,Cynnal Cymru - Sustain Wales,1
Awel Aman Tawe,National Theatre Wales,1
International Rectifier,Iqe (Europe) Ltd,1
Syfer Technology Ltd,Kennametal Sintec Keramik UK Ltd,1
University of Wales Newport,The National Library of Wales,1
National Waterfront Museum,City and County of Swansea,2
National Waterfront Museum,Swansea University,2
National Waterfront Museum,National Museum Wales,3
National Waterfront Museum,National Slate Museum Wales,1
National Waterfront Museum,Cynon Valley Museum & Gallery,1
National Waterfront Museum,The National Library of Wales,1
Cardiff Council,National Museum Wales,3
Cardiff Council,National Theatre Wales,2
Cardiff Council,Public Health Wales NHS Trust,2
Cardiff Council,Neath Port Talbot County,1
Cardiff Council,Welsh Government,2
Cardiff Council,Butetown History and Arts Centre,1
Cardiff Council,The National Library of Wales,1
Science Made Simple,LUX-TSI,1
Science Made Simple,Iqe (Europe) Ltd,1
Public Health Wales NHS Trust,Dwr Cymru Welsh Water,2
Public Health Wales NHS Trust,Afonydd Cymru,2
Public Health Wales NHS Trust,Aberystwyth University,1
Public Health Wales NHS Trust,National Theatre Wales,4
Public Health Wales NHS Trust,Abertawe Bro Morgannwg University Health Board,2
Public Health Wales NHS Trust,Public Health Wales NHS Trust,1
Public Health Wales NHS Trust,Swansea University,2
Public Health Wales NHS Trust,Welsh Government,3
Public Health Wales NHS Trust,Countryside Council for Wales,2
Public Health Wales NHS Trust,Butetown History and Arts Centre,2
Public Health Wales NHS Trust,The National Library of Wales,2
Glyndwr University,Bangor University,2
Glyndwr University,Scanwel Ltd,1
Glyndwr University,Swansea University,1
Glyndwr University,Ceredigion Museum,1
Glyndwr University,National Museum Wales,1
Glyndwr University,University of Wales,1
Glyndwr University,Sharp Manufacturing Co UK,1
Glyndwr University,Denbighshire County Council,1
Drivers & Vehicle Licensing Agency,South Wales Police,1
Drivers & Vehicle Licensing Agency,We Predict Ltd,1
Drivers & Vehicle Licensing Agency,Blurrt,1
Drivers & Vehicle Licensing Agency,Gwalia Housing Society Ltd,1
Drivers & Vehicle Licensing Agency,ABM University NHS Trust,1
Drivers & Vehicle Licensing Agency,City and County of Swansea,1
Drivers & Vehicle Licensing Agency,Swansea University,1
Drivers & Vehicle Licensing Agency,SymlConnect,1
Drivers & Vehicle Licensing Agency,Leadin UK,1
South Wales Police,Blurrt,1
South Wales Police,We Predict Ltd,1
South Wales Police,ABM University NHS Trust,1
South Wales Police,City and County of Swansea,1
South Wales Police,SymlConnect,1
South Wales Police,Swansea University,1
South Wales Police,Gwalia Housing Society Ltd,1
South Wales Police,Leadin UK,1
SymlConnect,Blurrt,1
SymlConnect,We Predict Ltd,1
SymlConnect,ABM University NHS Trust,1
SymlConnect,City and County of Swansea,1
SymlConnect,Swansea University,1
SymlConnect,Gwalia Housing Society Ltd,1
SymlConnect,Leadin UK,1
Monmouthshire County Council,Abergavenny Chronicle,1
Monmouthshire County Council,Abergavenny Museum,1
ABM University NHS Trust,Blurrt,1
ABM University NHS Trust,We Predict Ltd,1
ABM University NHS Trust,City and County of Swansea,1
ABM University NHS Trust,Swansea University,2
ABM University NHS Trust,Leadin UK,1
ABM University NHS Trust,Gwalia Housing Society Ltd,1
Newport City Council,University of Wales Lampeter,1
Wiltan Limited,Cogent Power Ltd,1
Cogent Power Ltd,G-24i,1
Cogent Power Ltd,Vale Europe Ltd,1
Cogent Power Ltd,Weartech International Ltd,1
Cogent Power Ltd,National Research Network,1
Cogent Power Ltd,Swansea University,2
Cogent Power Ltd,Welsh Government,1
Cogent Power Ltd,HPC Wales,1
Cogent Power Ltd,R-Tech Services Ltd,1
Cogent Power Ltd,Sony United Kingdom Ltd,1
Cogent Power Ltd,BIPVCo,1
Abertawe Bro Morgannwg University Health Board,Swansea University,2
OpTIC Glyndwr Ltd,OpTIC Glyndwr Ltd,2
OpTIC Glyndwr Ltd,Welsh Government,2
Abergavenny Museum,Abergavenny Chronicle,1
Topcon Great Britain Ltd,Swansea University,1
National Slate Museum Wales,National Museum Wales,1
National Slate Museum Wales,Cynon Valley Museum & Gallery,1
National Slate Museum Wales,The National Library of Wales,1
Higher Education Funding Council - Wales,Bangor University,2
Higher Education Funding Council - Wales,Trinity College Carmarthen,1
A Schulman Inc Ltd,Swansea University,1
Aberystwyth University,Bangor University,14
Aberystwyth University,Dwr Cymru Welsh Water,2
Aberystwyth University,University of Wales,1
Aberystwyth University,Welsh Country Foods Ltd,1
Aberystwyth University,Biocatalysts Ltd,1
Aberystwyth University,Haydale Limited,1
Aberystwyth University,Hybu Cig Cymru,1
Aberystwyth University,Snowdonia National Park Authority,1
Aberystwyth University,Welsh Government,2
Aberystwyth University,The National Library of Wales,2
Aberystwyth University,Reynolds International Ltd,1
Aberystwyth University,Gwynedd Archaeological Trust,1
Aberystwyth University,Suffolk Sire Reference Scheme Limited,1
Aberystwyth University,Techniquest,1
Aberystwyth University,National Museum Wales,1
Aberystwyth University,Aberystwyth University,10
Aberystwyth University,Afonydd Cymru,2
Aberystwyth University,Robertson Geologging Ltd,1
Aberystwyth University,Swansea University,4
Aberystwyth University,Techniquest Glyndwr,1
Aberystwyth University,Countryside Council for Wales,3
Sony United Kingdom Ltd,BIPVCo,1
Sony United Kingdom Ltd,G-24i,1
Sony United Kingdom Ltd,Welsh Government,1
Sony United Kingdom Ltd,Swansea University,1
Welsh Water (Caernarfon),Bangor University,1
HAEMAIR LTD,Swansea NHS Trust,2
HAEMAIR LTD,Swansea University,2
HAEMAIR LTD,HAEMAIR LTD,1
HAEMAIR LTD,Morriston Hospital,2
Swansea University,Bridgend County Borough Council,1
Swansea University,Blurrt,1
Swansea University,Pulse Medical Technologies Ltd,1
Swansea University,City and County of Swansea,3
Swansea University,Informing Healthcare,2
Swansea University,Welsh Government,3
Swansea University,R-Tech Services Ltd,1
Swansea University,Leadin UK,1
Swansea University,Suterra UK,1
Swansea University,LUX-TSI,3
Swansea University,Morriston Hospital,5
Swansea University,SSIA (Improving Social Care in Wales),1
Swansea University,Singleton Hospital,1
Swansea University,Maelor Forest Nurseries Ltd,1
Swansea University,Swansea NHS Trust,5
Swansea University,Gwalia Housing Society Ltd,1
Swansea University,Scanwel Ltd,1
Swansea University,Countryside Council for Wales,1
Swansea University,Bangor University,9
Swansea University,Myco Solutions,1
Swansea University,University of Wales,3
Swansea University,Lisk & Jones Consultants Ltd,2
Swansea University,BIPVCo,1
Swansea University,HPC Wales,1
Swansea University,Weartech International Ltd,1
Swansea University,Metacause Solutions Ltd,2
Swansea University,G-24i,2
Swansea University,Vale Europe Ltd,1
Swansea University,National Research Network,1
Swansea University,National Museum Wales,3
Swansea University,Abertawe Bro Morgannwg NHS Trust,2
Swansea University,We Predict Ltd,1
Swansea University,Swansea University,25
Swansea University,OPAN,1
Swansea University,Sharp Manufacturing Co UK,1
Swansea University,The National Library of Wales,1
Dwr Cymru Welsh Water,Dwr Cymru Welsh Water,2
Dwr Cymru Welsh Water,Conwy County Borough Council,1
Dwr Cymru Welsh Water,Afonydd Cymru,4
Dwr Cymru Welsh Water,Countryside Council for Wales,6
Dwr Cymru Welsh Water,Welsh Government,3
Hybu Cig Cymru,Welsh Country Foods Ltd,1
Hybu Cig Cymru,Suffolk Sire Reference Scheme Limited,1
Blurrt,We Predict Ltd,1
Blurrt,City and County of Swansea,1
Blurrt,Leadin UK,1
Blurrt,Gwalia Housing Society Ltd,1
City and County of Swansea,National Museum Wales,2
City and County of Swansea,We Predict Ltd,1
City and County of Swansea,Leadin UK,1
City and County of Swansea,Gwalia Housing Society Ltd,1
SmartKem Ltd,Bangor University,1
Alzeim Ltd,AgriSense-BCS Limited,1
Deaf Access Cymru (DAC),Cwmaman Communities First,1
Cerebra,Cerebra,1
LUX-TSI,Welsh Government,1
R-Tech Services Ltd,National Research Network,1
R-Tech Services Ltd,Vale Europe Ltd,1
R-Tech Services Ltd,HPC Wales,1
R-Tech Services Ltd,Weartech International Ltd,1
Sustainable Energy Ltd,Sustainable Energy Ltd,1
Swansea NHS Trust,Swansea NHS Trust,1
Swansea NHS Trust,Abertawe Bro Morgannwg NHS Trust,1
Swansea NHS Trust,Morriston Hospital,2
Gwalia Housing Society Ltd,We Predict Ltd,1
Gwalia Housing Society Ltd,Leadin UK,1
Cynnal Cymru - Sustain Wales,National Theatre Wales,1
RCAHMW,National Museum Wales,2
RCAHMW,University of Wales,1
RCAHMW,Bangor University,1
Welsh Country Foods Ltd,Suffolk Sire Reference Scheme Limited,1
Myco Solutions,Lisk & Jones Consultants Ltd,1
Myco Solutions,Maelor Forest Nurseries Ltd,1
Snowdonia National Park Authority,Countryside Council for Wales,1
Micro Materials Ltd,Micro Materials Limited,1
Lisk & Jones Consultants Ltd,Pulse Medical Technologies Ltd,1
Lisk & Jones Consultants Ltd,Bangor University,1
Lisk & Jones Consultants Ltd,Suterra UK,1
Lisk & Jones Consultants Ltd,Maelor Forest Nurseries Ltd,1
Trinity College Carmarthen,Welsh Government,1
Butetown History and Arts Centre,Welsh Government,1
Butetown History and Arts Centre,National Theatre Wales,2
Butetown History and Arts Centre,The National Library of Wales,1
Gwynedd Archaeological Trust,Bangor University,3
HPC Wales,National Research Network,1
HPC Wales,Vale Europe Ltd,1
HPC Wales,Weartech International Ltd,1
Weartech International Ltd,Vale Europe Ltd,1
Weartech International Ltd,National Research Network,1
Bridgend County Borough Council,SSIA (Improving Social Care in Wales),1
Techniquest Glyndwr,Techniquest,1
National Museum Wales,Bangor University,3
National Museum Wales,University of Wales,2
National Museum Wales,Ceredigion Museum,1
National Museum Wales,Denbighshire County Council,1
National Museum Wales,Cynon Valley Museum & Gallery,1
National Museum Wales,The National Library of Wales,1
Sharp Manufacturing Co UK,Bangor University,1
Sharp Manufacturing Co UK,Scanwel Ltd,1
We Predict Ltd,Leadin UK,1
Purolite International Ltd,Purolite International Ltd,1
Prognomics Ltd,Bangor University,1
ConvaTec Ltd,Bangor University,2
Countryside Council for Wales,Welsh Government,2
Countryside Council for Wales,Afonydd Cymru,4
Countryside Council for Wales,Countryside Council for Wales,1
Power Units M & E Engineering Ltd,Tidal Energy Limited,1
WJEC,CWVYS,1
WJEC,Techniquest,1
WJEC,Welsh Government,1
WJEC,University of Wales,1
Nu Instruments Ltd,Bangor University,1
Denbighshire County Council,Bangor University,2
Denbighshire County Council,Ceredigion Museum,1
Denbighshire County Council,University of Wales,1
Neath Port Talbot County,Welsh Government,1
The Do Lectures Ltd,Welsh National Opera,1
The Do Lectures Ltd,Chapter Arts Centre,1
Welsh Government,Ely & Caerau Communities First,1
Welsh Government,Bangor University,1
Welsh Government,University of Wales,1
Welsh Government,BIPVCo,1
Welsh Government,G-24i,1
Welsh Government,Afonydd Cymru,2
Welsh Government,National Theatre Wales,2
Welsh Government,The National Library of Wales,1
Newport Museum & Art Gallery,University of Wales Lampeter,2
Informing Healthcare,Metacause Solutions Ltd,4
Informing Healthcare,Informing Healthcare,1
Pulse Medical Technologies Ltd,Bangor University,1
Pulse Medical Technologies Ltd,Suterra UK,1
Suterra UK,Bangor University,1
Metacause Solutions Ltd,Metacause Solutions Ltd,1
CWVYS,Techniquest,1
Welsh National Opera,Chapter Arts Centre,1
Corus Strip Products UK,Kennametal Sintec Keramik UK Ltd,1
Bangor University,Bangor University,14
Bangor University,Ceredigion Museum,3
Bangor University,BIPVCo,1
Bangor University,G-24i,1
Bangor University,University of Wales,4
Bangor University,Scanwel Ltd,1
Bangor University,The National Library of Wales,2
Ceredigion Museum,Ceredigion Museum,1
Ceredigion Museum,University of Wales,1
Ceredigion Museum,The National Library of Wales,2
University of Wales,The National Library of Wales,2
Harman Becker Automotive Systems,Harman Becker Automotive Systems,1
National Research Network,Vale Europe Ltd,1
Zarlink Semiconductor,Zarlink Semiconductor,1
Nuaire International Ltd,Nuaire International Ltd,1
BIPVCo,G-24i,2
Cynon Valley Museum & Gallery,The National Library of Wales,1
National Theatre Wales,National Theatre Wales,1
National Theatre Wales,The National Library of Wales,2
Afonydd Cymru,Afonydd Cymru,1
Scanwel Ltd,Scanwel Ltd,1
University of Wales Lampeter,University of Wales Lampeter,1
