,active_in_topic,lad,lat,lon,org,project_count,recommendations
0,"applications_devices_users, bio_informatics, climate_science, design_&_heritage, development_studies, ecosystems, energy_environmental, environmental_policy, evidence_for_policy, geology, hidrology, minerals_fuels, networks, public_engagement_infrastructure, sociology, systems_infrastructure, transport_communications, visual",Cardiff,51.4845175,-3.1670775,Natural Resources Wales,15,"Urdd Gobaith Cymru, Fugro Robertson Limited, Agroceutical Products, AgriSense-BCS Limited, Arts Council of Wales, 3Gs Development Trust, University of Glamorgan, Conwy County Borough Council, Utility Partnership Ltd, Ebbw Vale & District Trust"
1,"energy_environmental, energy_transport_technology, systems_infrastructure",Caerphilly,51.5707059,-3.2320077,Nuaire Ltd,1,"Swansea University, University of South Wales, Wiltan Limited, Welsh Government, Vale Europe Ltd, Weartech International Ltd"
2,"climate_science, data_methods, visual",Ceredigion,52.4121278,-4.0619087,URSULA Agriculture Ltd,1,"Swansea University, Welsh Government, University of Wales, University of South Wales, Techniquest, University of Glamorgan, Cardiff University"
3,"energy_transport_technology, materials, systems_infrastructure",Cardiff,51.5298324,-3.0821715,Gyrus Medical Ltd,1,"Swansea NHS Trust, Swansea University, Morriston Hospital, SPTS Technologies, Micro Materials Ltd, Micro Materials Limited"
4,"chemistry_biochemistry, imaging, modelling_measurement, photonics_imaging_quantum, prosthetics_robotics_health, systems_infrastructure",Cardiff,51.527075,-3.1860119,BBInternational (British Biocell),4,"Swansea University, Sharp Manufacturing Co UK, University of Glamorgan, Swansea NHS Trust, Welsh Government, University of Wales"
5,"archaeology, classic_religious_history, climate_science, design_&_heritage, ecosystems, environmental_policy, health_social_issues, linguistics, literature, media_performance, medieval_modern_history, military_history, political_history, public_engagement_infrastructure, social_history",Ceredigion,52.1138866,-4.0759084,University of Wales Lampeter,8,"University of Wales, Welsh Government, RCAHMW, Gwynedd Archaeological Trust, National Museum Wales, Denbighshire County Council, Cardiff Council, University of South Wales, WJEC, Nu Instruments Ltd"
6,"cognition_&_audio, computer_science, design_&_heritage, drug_tests, economics, energy_environmental, energy_transport_technology, environmental_policy, evidence_for_policy, health_interventions_policy, industrial_application, materials, mathematics, media_performance, modelling_&_sensors, psychology, public_engagement_infrastructure, respiratory_system, security, social_history, systems_infrastructure, transport_communications, visual",Rhondda Cynon Taf,51.594181,-3.3190901,University of South Wales,13,"Kennametal Sintec Keramik UK Ltd, Morgan Electroceramics, Sharp Manufacturing Co UK, Alun Griffiths (Contractors) Limited, Corus Strip Products UK, Dyesol UK Ltd, Welsh Government, Morgan Advanced Materials and Technology, Ceredigion Museum, Centre for Business & South Wales CoC"
7,"agriculture_plant_biology_entomology, bio_informatics, cells_cancer, climate_science, data_methods, disease_infection_health, drug_tests, ecosystems, environmental_policy, epidemiology_immunology, experiments, health_interventions_policy, materials, modelling_measurement, neurology, obesity_metabolism, prosthetics_robotics_health, psychiatry_mental_health, respiratory_system, surgert_cardiology, systems_infrastructure, visual",Cardiff,51.5067644,-3.1893603,Cardiff & Vale University Health Board,20,"Welsh Government, Weartech International Ltd, Welsh Water (Caernarfon), Wiltan Limited, WISERD, Welsh National Opera"
8,"energy_transport_technology, prosthetics_robotics_health, systems_infrastructure",Swansea,51.6096175,-3.9806297,Boots Centre for Innovation BCI,2,"Morriston Hospital, Micro Materials Ltd, Micro Materials Limited, SPTS Technologies, Morvus Technlogy Ltd, HAEMAIR LTD, Kennametal Sintec Keramik UK Ltd, Haemometrics Ltd"
9,"applications_devices_users, energy_environmental, energy_transport_technology, environmental_policy, systems_infrastructure",Swansea,51.6189511,-3.9413826,S&C Electric Europe Limited,2,"Welsh Government, WISERD, University of Wales, University of Glamorgan, Welsh Local Government Association, SPECIFIC (Innovation and Knowledge Ctr), The National Library of Wales"
10,"applications_devices_users, public_engagement_infrastructure, robotics_cybernetics",Swansea,51.6187518,-3.9360293,Fram3,1,"Techniquest, Aberystwyth University"
11,"ecosystems, environmental_policy, modelling_&_sensors",Ceredigion,52.4121278,-4.0619087,Environment Systems Limited,1,"Welsh Government, University of Glamorgan, The Emergency Planning Society, Swansea University, Welsh Local Government Association, Snowdonia National Park Authority"
12,"applications_devices_users, energy_transport_technology, systems_infrastructure",Cardiff,51.4786512,-3.1583741,INEXUS,1,"Swansea University, Welsh Government, University of South Wales, Wiltan Limited, Vale Europe Ltd, Weartech International Ltd"
13,"bio_informatics, ecosystems, environmental_policy",Pembrokeshire,51.7983806,-4.7347885,PLANED,1,"Swansea University, Lisk & Jones Consultants Ltd, Dwr Cymru Welsh Water, Sustainable Energy Ltd, Countryside Council for Wales, Sentomol, Maelor Forest Nurseries Ltd, Myco Solutions"
14,"design_&_heritage, ecosystems, environmental_policy, health_social_issues, hidrology, social_history",Cardiff,51.4873037,-3.1833519,Public Health Wales,2,"Welsh Government, Afonydd Cymru, Countryside Council for Wales, University of Glamorgan, The Emergency Planning Society, 3Gs Development Trust, Welsh Local Government Association, National Theatre Wales, Glamorgan-Gwent Archaeological Trust, National Waterfront Museum"
15,"carbon_greenhouse_pollution, climate_science, ecosystems, environmental_policy",Conwy,53.2884686,-3.8492453,PetroStrat Ltd,2,"Swansea University, Welsh Government, Welsh Water (Caernarfon), University of Wales Lampeter, University of Wales, The National Library of Wales"
16,"climate_science, environmental_policy, geology",Monmouthshire,51.6861597,-2.7448841,NavStar Geomatics Ltd,1,"Welsh Government, University of Glamorgan, The Emergency Planning Society, Swansea University, Welsh Local Government Association, Snowdonia National Park Authority"
17,"agriculture_plant_biology_entomology, bio_informatics, disease_infection_health, drug_tests, epidemiology_immunology, health_interventions_policy, surgert_cardiology",Swansea,51.6846519,-3.9352524,Abertawe Bro Morgannwg University Health Board,3,"Welsh Government, Welsh Country Foods Ltd, The National Library of Wales, University of Glamorgan, University of South Wales, University of Wales"
18,"energy_environmental, energy_transport_technology, systems_infrastructure",Monmouthshire,51.6408426,-2.6703976,Mabey Bridge Ltd,1,"Cardiff Capital Region Board, A Schulman Inc Ltd, Morganite Electrical Carbon Ltd., Zarlink Semiconductor, Control Techniques Drives Ltd, Bangor University, Palmer environmental, Merlin Circuits, Prognomics Ltd, Warm Wales - Cymru Gynnes CBC"
19,"design_&_heritage, environmental_policy, philosophy, social_history",Monmouthshire,51.8323987,-3.0124653,North Abergavenny Communities First,2,"Swansea University, University of Wales, City and County of Swansea, Welsh Government, University of Wales Lampeter, Glamorgan-Gwent Archaeological Trust, Welsh Water (Caernarfon), The National Library of Wales"
20,"agriculture_plant_biology_entomology, epidemiology_immunology, modelling_measurement",Ceredigion,52.425969,-4.0031621,Innovis Genetics Ltd,1,"Swansea University, Sentomol, Myco Solutions, Maelor Forest Nurseries Ltd, Lisk & Jones Consultants Ltd, Public Health Wales NHS Trust"
21,"agriculture_plant_biology_entomology, environmental_policy, industrial_application",Monmouthshire,51.8458063,-2.7702648,Sentomol,1,"Agroceutical Products, Iceland Foods Ltd, Hybu Cig Cymru, Innovis Genetics Ltd, Welsh Country Foods Ltd, AgriSense-BCS Limited, Suffolk Sire Reference Scheme Limited, Ruskinn Technology Ltd, Alzeim Ltd, Suterra UK"
22,"applications_devices_users, computer_science, environmental_policy, evidence_for_policy, health_interventions_policy, law, management, psychology, systems_infrastructure",Newport,51.5663294,-3.0272174,UK Intellectual Property Office,4,"The Bevan Foundation, Welsh Government, Trinity College Carmarthen, The National Library of Wales, University of Wales, WISERD"
23,"energy_environmental, photonics_imaging_quantum, systems_infrastructure",Bridgend,51.4987132,-3.5293784,ICP Solar,1,"Tidal Energy Limited, IQE Silicon Compounds Ltd, Nuaire International Ltd, Swansea University, Power Units M & E Engineering Ltd, Mabey Bridge Ltd"
24,"applications_devices_users, energy_environmental, systems_infrastructure",Bridgend,51.5177229,-3.4923688,Sony United Kingdom Ltd,1,"Dow Corning Ltd, Science Made Simple, Purolite International Ltd, Neath Port Talbot County, Deregallera Ltd, Utility Partnership Ltd, Seren Photonics Ltd, Welsh Automotive Forum, Dyesol UK Ltd, Welsh Centre for Printing and Coating"
25,"applications_devices_users, public_engagement_infrastructure, robotics_cybernetics",Swansea,51.6200047,-3.9325722,We Predict Ltd,1,"Techniquest Glyndwr, EADS Defense and Security Systems Ltd, Organic Centre Wales, Qioptiq Ltd, Meritor HVBS (UK) Ltd, VocalEyes Digital Democracy, Metacause Solutions Ltd, Informing Healthcare, Cardiff Metropolitan University, Aberystwyth University"
26,"design_&_heritage, environmental_policy, linguistics",Cardiff,51.4875744,-3.1930233,Glamorgan Cricket Club,1,"University of South Wales, Swansea University, Welsh Government, University of Wales, WJEC, University of Wales Newport"
27,"applications_devices_users, design_&_heritage, economics, evidence_for_policy, social_history, sociology",Merthyr Tydfil,51.7624191,-3.3791686,3Gs Development Trust,2,"Higher Education Funding Council - Wales, Gwalia Housing Society Ltd, Public Health Wales, Natural Resources Wales, Trinity College Carmarthen, PDR National Centre for Product  Design"
28,"photonics_imaging_quantum, prosthetics_robotics_health, systems_infrastructure",Isle of Anglesey,53.209836,-4.3598756,MSM Anglesey Ltd,1,"Swansea University, Tidal Energy Limited, Swansea NHS Trust, Seren Photonics Ltd, University of Wales, Sharp Manufacturing Co UK, Science Made Simple"
29,"chemistry_biochemistry, electronics_transistors, energy_environmental, photonics_imaging_quantum, systems_infrastructure",Caerphilly,51.5895459,-3.2257906,Deregallera Ltd,2,"Swansea University, University of South Wales, Weartech International Ltd, Vale Europe Ltd, Welsh Government, Sony United Kingdom Ltd"
30,"chemistry_biochemistry, electronics_transistors, energy_environmental, environmental_policy, industrial_application, materials, networks, photonics_imaging_quantum, prosthetics_robotics_health, public_engagement_infrastructure, security, systems_infrastructure",Cardiff,51.5309385,-3.0879932,IQE Silicon Compounds Ltd,14,"Newport Museum & Art Gallery, Nuaire International Ltd, A Schulman Inc Ltd, G-24i, Palmer environmental, Prognomics Ltd, Mabey Bridge Ltd, SSIA (Improving Social Care in Wales), Zarlink Semiconductor, Swansea University"
31,"criminology_violence, design_&_heritage, evidence_for_policy, management, social_care, social_history, systems_infrastructure",Cardiff,51.4871273,-3.1767652,WISERD,3,"Cerebra, Welsh Women's Aid, Abersychan and Garndiffaith Local Histor, Angela Ash Associates, Welsh Language Board BYIG WLB, yellobrick, Design Wales, University of Wales, Office for National Statistics, Rhyal Engineering Ltd"
32,"design_&_heritage, environmental_policy, health_interventions_policy",Cardiff,51.4835545,-3.2236083,Design Wales,1,"Ynni Da, Welsh Government, Y Lolfa Publishers, University of Wales Lampeter, WISERD, WJEC"
33,"energy_environmental, evidence_for_policy, industrial_application, management, networks, photonics_imaging_quantum, prosthetics_robotics_health, psychology, public_engagement_infrastructure, security, social_history, systems_infrastructure",Newport,51.565839,-3.0226329,International Rectifier,6,"Power Units M & E Engineering Ltd, LUX-TSI, Tidal Energy Limited, Surface Technology Systems Plc, Zarlink Semiconductor, G-24i, Seren Photonics Ltd, Qioptiq Ltd, Science Made Simple"
34,"electronics_transistors, photonics_imaging_quantum, systems_infrastructure",Cardiff,51.5309385,-3.0879932,Syfer Technology Ltd,1,"Swansea University, University of South Wales, Weartech International Ltd, Morgan Advanced Materials and Technology, National Research Network, Wiltan Limited, Scanwel Ltd, Welsh Government, Cogent Power Ltd, HPC Wales"
35,"design_&_heritage, environmental_policy, health_social_issues, linguistics, social_history",Swansea,51.6164169,-3.9385588,National Waterfront Museum,3,"Arts Council of Wales, Y Lolfa Publishers, WJEC, Voluntary Arts Network, Public Health Wales NHS Trust, Public Health Wales, Welsh Government, University of Wales Lampeter, University of Wales, University of Wales Newport"
36,"energy_environmental, environmental_policy, minerals_fuels, systems_infrastructure, visual",Cardiff,51.4818748,-3.1723961,SRK Consulting UK Ltd,3,"Welsh Government, Dwr Cymru Welsh Water, University of Wales, Countryside Council for Wales, University of Glamorgan, Welsh Local Government Association, WISERD, Snowdonia National Park Authority, The National Library of Wales"
37,"applications_devices_users, archaeology, chemistry_biochemistry, design_&_heritage, energy_environmental, health_social_issues, media_performance, medieval_modern_history, social_history, systems_infrastructure",Cardiff,51.4698968,-3.1634505,Cardiff Council,7,"University of Wales, University of South Wales, University of Wales Lampeter, WJEC, Techniquest, Y Lolfa Publishers, Tidal Energy Limited"
38,"astronomy, cells_cancer, chemistry_biochemistry, design_&_heritage, electronics_transistors, energy_environmental, health_interventions_policy, photonics_imaging_quantum, prosthetics_robotics_health, psychiatry_mental_health, public_engagement_infrastructure, systems_infrastructure, theoretical_physics, transport_communications, visual",Cardiff,51.484655,-3.1695294,Science Made Simple,10,"Welsh Government, Dow Corning Ltd, Welsh Centre for Printing and Coating, Keima Ltd, Weartech International Ltd, Sony United Kingdom Ltd, BIPVCo, Surface Technology Systems Plc, Y Lolfa Publishers, Yuasa Battery UK Ltd"
39,"agriculture_plant_biology_entomology, applications_devices_users, bio_informatics, design_&_heritage, disease_infection_health, drug_tests, environmental_policy, epidemiology_immunology, health_interventions_policy, hidrology, industrial_application, psychiatry_mental_health, social_history, surgert_cardiology, transport_communications",Cardiff,51.4829643,-3.1900946,Public Health Wales NHS Trust,8,"Urdd Gobaith Cymru, Aberystwyth Arts Centre, Suffolk Sire Reference Scheme Limited, Hybu Cig Cymru, Dark Sky Wales Education Services Ltd, PDR National Centre for Product  Design, National Museum Wales, Welsh National Opera, WJEC, Cyrff Ystwyth"
40,"energy_environmental, photonics_imaging_quantum, systems_infrastructure",Denbighshire,53.253822,-3.4709708,Pilkington Special Glass,1,"Tidal Energy Limited, IQE Silicon Compounds Ltd, Nuaire International Ltd, Swansea University, Power Units M & E Engineering Ltd, Mabey Bridge Ltd"
41,"applications_devices_users, computer_vision, mathematics",Cardiff,51.4888699,-3.1390018,British Machine Vision Association,1,"Aberystwyth University, Bangor University, Zarlink Semiconductor, Swansea University, Cardiff University"
42,"energy_environmental, energy_transport_technology, industrial_application, materials, photonics_imaging_quantum, systems_infrastructure, visual",Powys,52.5201519,-3.2917871,Control Techniques Drives Ltd,9,"Cardiff University, Tidal Energy Limited, Power Units M & E Engineering Ltd, Mabey Bridge Ltd, Bangor University, Swansea University"
43,"design_&_heritage, environmental_policy, media_performance",Ceredigion,52.4162226,-4.0627321,Aberystwyth Arts Centre,1,"University of South Wales, Welsh Government, Public Health Wales NHS Trust, The National Library of Wales, S4C, Royal Television Society Wales"
44,"applications_devices_users, public_engagement_infrastructure, robotics_cybernetics",Bridgend,51.4980844,-3.564092,South Wales Police,1,"Techniquest Glyndwr, EADS Defense and Security Systems Ltd, Organic Centre Wales, Qioptiq Ltd, Meritor HVBS (UK) Ltd, VocalEyes Digital Democracy, Metacause Solutions Ltd, Informing Healthcare, Aberystwyth University, Creditsafe Business Solutions Limited"
45,"climate_science, electronics_transistors, energy_environmental, environmental_policy, management, materials, photonics_imaging_quantum, systems_infrastructure",Wrexham,53.0031295,-3.0375633,Morgan Electroceramics,3,"Swansea University, University of South Wales, Vale Europe Ltd, Weartech International Ltd, Scanwel Ltd, University of Wales Lampeter"
46,"archaeology, design_&_heritage, health_social_issues",Newport,51.5886524,-3.0058091,Newport City Council,1,"University of Wales, University of Glamorgan, The National Library of Wales, University of South Wales, City and County of Swansea, Welsh Government, Glamorgan-Gwent Archaeological Trust, WJEC"
47,"psychiatry_mental_health, psychology, social_history",Carmarthenshire,51.8228779,-4.5972565,Magstim Co Ltd (The),1,"Welsh Government, University of Wales, WISERD, Welsh Language Board BYIG WLB, WJEC, Y Lolfa Publishers"
48,"applications_devices_users, climate_science, environmental_policy, modelling_&_sensors, systems_infrastructure",Flintshire,53.1935546,-2.9295371,Topcon Great Britain Ltd,2,"Gower Optimal Algorithms Ltd, Welsh Water (Caernarfon), Welsh Government, University of Wales Lampeter, University of Wales, The National Library of Wales, Suterra UK, Cardiff University"
49,"photonics_imaging_quantum, security, systems_infrastructure",Caerphilly,51.6769412,-3.1625455,A Schulman Inc Ltd,2,"Cardiff University, Power Units M & E Engineering Ltd, Tidal Energy Limited, Mabey Bridge Ltd, IQE Silicon Compounds Ltd, Nuaire International Ltd"
50,"agriculture_plant_biology_entomology, applications_devices_users, archaeology, architecture_spatial, astronomy, astrophysics, bio_informatics, biopharmaceuticals, bones_muscles, carbon_greenhouse_pollution, cells_cancer, cellular_biology_cancer, chemistry_biochemistry, classic_religious_history, climate_science, computer_science, computer_vision, cosmology, criminology_violence, cyber_security, data_methods, design_&_heritage, development_studies, drug_tests, economics, ecosystems, education, electronics_transistors, energy_environmental, energy_transport_technology, environment, environmental_policy, epidemiology_immunology, evidence_for_policy, gender_sexuality, geology, health_interventions_policy, health_social_issues, hidrology, imaging, industrial_application, ionisation_plasma, law, linguistics, literature, management, materials, mathematics, media_performance, medieval_modern_history, migration_colonial_history, military_history, minerals_fuels, modelling_&_sensors, modelling_measurement, neuroscience, nutrition_health, obesity_metabolism, philosophy, photonics_imaging_quantum, political_history, prosthetics_robotics_health, psychiatry_mental_health, psychology, public_engagement_infrastructure, reproduction_fertility, robotics_cybernetics, sensors_data_telescopy, social_care, social_history, social_history_identity, sociology, statistics_data_analysis, systems_infrastructure, transport_communications, visual",Ceredigion,52.4034726,-4.0435845,Aberystwyth University,237,"British Machine Vision Association, Royal Mint (The), Y Lolfa Publishers, General Dynamics UK Ltd, Nu Instruments Ltd, Accelero Digital Solutions Ltd, We Predict Ltd, Blurrt, South Wales Police, Welsh National Opera"
51,"design_&_heritage, philosophy, social_history",Monmouthshire,51.8221929,-3.0198247,Abergavenny Chronicle,1,"University of Glamorgan, University of South Wales, Welsh Government, University of Wales, WJEC, University of Wales Newport, The National Library of Wales"
52,"applications_devices_users, public_engagement_infrastructure, robotics_cybernetics",Newport,51.5889678,-2.9962458,Blurrt,1,"Techniquest, Aberystwyth University"
53,"mathematics, particle_physics, social_history",Pembrokeshire,51.7267185,-5.032242,Rhyal Engineering Ltd,1,"Welsh Government, University of Wales, University of South Wales, WISERD, WJEC, Y Lolfa Publishers"
54,"chemistry_biochemistry, photonics_imaging_quantum, systems_infrastructure",Denbighshire,53.2559133,-3.4755998,SmartKem Ltd,1,"Swansea University, Welsh Government, Surface Technology Systems Plc, Seren Photonics Ltd, Sony United Kingdom Ltd, Science Made Simple"
55,"applications_devices_users, energy_environmental, systems_infrastructure",Cardiff,51.5392809,-3.1356312,Utility Partnership Ltd,1,"Sustainable Energy Ltd, Natural Resources Wales, Swansea University, Welsh Government, Purolite International Ltd, Ruskinn Technology Ltd, Sony United Kingdom Ltd"
56,"cells_cancer, cellular_biology_cancer, drug_tests, epidemiology_immunology, industrial_application, neurology, neuroscience, prosthetics_robotics_health, systems_infrastructure",Bridgend,51.5177229,-3.4923688,Ruskinn Technology Ltd,3,"Swansea University, Sentomol, Welsh Government, Utility Partnership Ltd, Suterra UK, Welsh Automotive Forum"
57,"design_&_heritage, environmental_policy, geology, social_history, systems_infrastructure",Cardiff,51.4829643,-3.1900946,ELRHA,2,"University of Glamorgan, University of South Wales, Welsh Government, University of Wales, WJEC, University of Wales Newport"
58,"chemistry_biochemistry, electronics_transistors, energy_environmental, industrial_application, ionisation_plasma, materials, mathematics, photonics_imaging_quantum, systems_infrastructure",Swansea,51.666361,-3.912232,Morgan Advanced Materials and Technology,8,"University of South Wales, Weartech International Ltd, Welsh Government, Vale Europe Ltd, Wiltan Limited, Syfer Technology Ltd"
59,"climate_science, environmental_policy, geology",Conwy,53.2963992,-3.8346125,Robertson Geologging Ltd,1,"Swansea University, Welsh Water (Caernarfon), Welsh Government, University of Wales Lampeter, University of Wales, The National Library of Wales"
60,"applications_devices_users, design_&_heritage, health_social_issues, public_engagement_infrastructure, robotics_cybernetics",Swansea,51.6198379,-3.9497269,Gwalia Housing Society Ltd,2,3Gs Development Trust
61,"drug_tests, health_interventions_policy, psychiatry_mental_health",Gwynedd,53.2090196,-4.1598251,Betsi Cadwaladr University Health Board,1,"Swansea University, University of South Wales, Welsh Government, University of Glamorgan, University of Wales, The National Library of Wales"
