,active_in_topic,lad,lat,lon,org,project_count,recommendations
128,"energy_environmental, photonics_imaging_quantum, prosthetics_robotics_health",Powys,51.9258531,-3.2752031,Ty Mawr Lime Ltd,2,"Swansea University, Welsh Government, Surface Technology Systems Plc, Seren Photonics Ltd, Sony United Kingdom Ltd, Science Made Simple"
129,"computer_science, computer_vision, ecosystems, environmental_policy, modelling_&_sensors, modelling_measurement",Ceredigion,52.4125867,-4.0772959,Royal Com Ancient & Historical Monuments,2,"Swansea University, Techniquest, Cardiff University"
130,"applications_devices_users, environmental_policy, robotics_cybernetics",Wrexham,53.052963,-3.0056395,Techniquest Glyndwr,1,"Swansea University, South Wales Police, SymlConnect, We Predict Ltd, Leadin UK, Protect 2020 Ltd, National Eisteddfod of Wales"
131,"industrial_application, nutrition_health, social_history, systems_infrastructure",Isle of Anglesey,53.3096403,-4.0425945,Anglesey Aquaculture Ltd,2,"Swansea University, Welsh Government, University of Wales, The National Library of Wales, Sustainable Energy Ltd, Suterra UK"
132,"design_&_heritage, health_social_issues, social_history",Cardiff,51.4697688,-3.1649216,Arts Council of Wales,2,"National Waterfront Museum, University of Glamorgan, The National Library of Wales, Swansea University, Natural Resources Wales, University of Wales, National Theatre Wales"
133,"energy_environmental, public_engagement_infrastructure, systems_infrastructure",Cardiff,51.4714178,-3.1569526,Celsa Steel UK,1,"Swansea University, Swansea NHS Trust, University of South Wales, Vale Europe Ltd, Welsh Government, Weartech International Ltd"
134,"applications_devices_users, energy_environmental, systems_infrastructure",Bridgend,51.495515,-3.5428705,Welsh Automotive Forum,1,"Sustainable Energy Ltd, Natural Resources Wales, Swansea University, Welsh Government, Purolite International Ltd, Ruskinn Technology Ltd, Sony United Kingdom Ltd"
135,"design_&_heritage, linguistics, social_history",Newport,51.5785504,-2.9872725,Centre for Business & South Wales CoC,1,"Welsh Government, University of South Wales, University of Wales, WJEC, Y Lolfa Publishers, University of Wales Newport"
136,"energy_environmental, energy_transport_technology, systems_infrastructure",Blaenau Gwent,51.7468851,-3.1544907,Atraverda Ltd,1,"Swansea University, Micro Materials Limited, Swansea NHS Trust, SPTS Technologies, HAEMAIR LTD, Morriston Hospital"
137,"design_&_heritage, environmental_policy, media_performance, social_history",Cardiff,51.4862037,-3.1960552,Voluntary Arts Network,2,"Swansea University, National Waterfront Museum, University of Glamorgan, National Slate Museum Wales, Public Health Wales, The National Library of Wales"
138,"applications_devices_users, energy_environmental, systems_infrastructure",Neath Port Talbot,51.6625947,-3.8006782,Neath Port Talbot County,1,"Swansea University, Micro Materials Ltd, Centre for Regeneration Excellence Wales, Pulse Medical Technologies Ltd, Butetown History and Arts Centre, Sony United Kingdom Ltd, Sustainable Energy Ltd, Suterra UK"
139,"evidence_for_policy, psychology, social_care",Monmouthshire,51.7024195,-2.9056311,Angela Ash Associates,1,"Welsh Government, WISERD, University of Wales, yellobrick, University of South Wales, Welsh Language Board BYIG WLB"
140,"chemistry_biochemistry, energy_environmental, systems_infrastructure",Ceredigion,52.0898984,-4.3801127,Protherics UK Limted,1,"Swansea NHS Trust, HAEMAIR LTD, Swansea University, Welsh Government, Morriston Hospital, Haemometrics Ltd"
141,"design_&_heritage, evidence_for_policy, social_history_identity",Cardiff,51.4812537,-3.1479274,yellobrick,1,"Welsh Government, WJEC, Welsh National Opera, Y Lolfa Publishers, WISERD, Angela Ash Associates, Bangor University, Chapter Arts Centre, Ely & Caerau Communities First, University of Glamorgan"
142,"applications_devices_users, carbon_greenhouse_pollution, chemistry_biochemistry, climate_science, cyber_security, ecosystems, energy_transport_technology, environmental_policy, evidence_for_policy, geology, hidrology, industrial_application, ionisation_plasma, management, materials, minerals_fuels, modelling_&_sensors, modelling_measurement, prosthetics_robotics_health, psychology, social_history, systems_infrastructure, transport_communications",Swansea,51.62206,-3.9431623,Atkins Global,15,"Welsh Government, University of Glamorgan, The Emergency Planning Society, Swansea University, Welsh Local Government Association, Snowdonia National Park Authority"
143,"design_&_heritage, environmental_policy, public_engagement_infrastructure, systems_infrastructure, transport_communications, visual",Flintshire,53.1563095,-3.1323013,National Eisteddfod of Wales,3,"University of Glamorgan, Welsh Government, Vale Europe Ltd, WJEC, Techniquest Glyndwr, Weartech International Ltd"
144,"electronics_transistors, materials, systems_infrastructure",Neath Port Talbot,51.5686795,-3.7555659,Corus Strip Products UK,1,"Swansea University, University of South Wales, Vale Europe Ltd, Sandvik Materials Technology, National Research Network, Scanwel Ltd, Cogent Power Ltd, HPC Wales, Weartech International Ltd, R-Tech Services Ltd"
145,"economics, evidence_for_policy, sociology",Blaenau Gwent,51.7597374,-3.199924,The Bevan Foundation,1,"Trinity College Carmarthen, UK Intellectual Property Office, Welsh Government, Plunkett Foundation, Cardiff University, Higher Education Funding Council - Wales, Dwr Cymru Welsh Water, Natural Resources Wales"
146,"design_&_heritage, media_performance, systems_infrastructure",Cardiff,51.524884,-3.1928019,S4C,1,"University of Glamorgan, Welsh Government, Aberystwyth Arts Centre, University of Wales, WJEC, Y Lolfa Publishers, University of Wales Newport, The National Library of Wales"
147,"agriculture_plant_biology_entomology, bio_informatics, environmental_policy",Powys,52.0671765,-3.226152,Agroceutical Products,1,"Swansea University, Sentomol, Lisk & Jones Consultants Ltd, Myco Solutions, Maelor Forest Nurseries Ltd, Natural Resources Wales"
148,"applications_devices_users, public_engagement_infrastructure, robotics_cybernetics",Bridgend,51.501963,-3.5400915,Accelero Digital Solutions Ltd,1,"Techniquest, Aberystwyth University"
149,"chemistry_biochemistry, environmental_policy, materials, photonics_imaging_quantum, systems_infrastructure",Bridgend,51.5449646,-3.5958405,Seren Photonics Ltd,3,"Swansea University, Welsh Government, Dow Corning Ltd, Welsh Centre for Printing and Coating, Ty Mawr Lime Ltd, Keima Ltd, SmartKem Ltd, Mesuro, Merck Chemicals Ltd UK, MSM Anglesey Ltd"
150,"chemistry_biochemistry, prosthetics_robotics_health, systems_infrastructure",Carmarthenshire,51.847223,-4.129296,Morvus Technlogy Ltd,1,"Bangor University, Swansea NHS Trust, Swansea University, Boots Centre for Innovation BCI, Abertawe Bro Morgannwg NHS Trust, Aberystwyth University"
151,"chemistry_biochemistry, electronics_transistors, energy_environmental, modelling_measurement, photonics_imaging_quantum, prosthetics_robotics_health, systems_infrastructure",Flintshire,53.1767863,-2.9944992,Merlin Circuits,6,"Tidal Energy Limited, Cardiff University, Zarlink Semiconductor, Nuaire International Ltd, Power Units M & E Engineering Ltd, Mabey Bridge Ltd"
152,"ageing, agriculture_plant_biology_entomology, applications_devices_users, archaeology, architecture_spatial, astronomy, astrophysics, bio_informatics, biopharmaceuticals, bones_muscles, carbon_greenhouse_pollution, cells_cancer, cellular_biology_cancer, chemistry_biochemistry, classic_religious_history, climate_science, cognition_&_audio, computer_science, computer_vision, cosmology, criminology_violence, cyber_security, data_methods, design_&_heritage, development_studies, disease_infection_health, drug_tests, economics, ecosystems, education, electronics_transistors, energy_environmental, energy_transport_technology, environment, environmental_policy, epidemiology_immunology, evidence_for_policy, experiments, gender_sexuality, genetics, geology, health_interventions_policy, health_social_issues, hidrology, imaging, industrial_application, ionisation_plasma, law, linguistics, literature, management, materials, mathematics, media_performance, medieval_modern_history, migration_colonial_history, military_history, minerals_fuels, modelling_&_sensors, modelling_measurement, networks, neurology, neuroscience, nutrition_health, obesity_metabolism, particle_physics, philosophy, photonics_imaging_quantum, political_history, prosthetics_robotics_health, psychiatry_mental_health, psychology, public_engagement_infrastructure, reproduction_fertility, respiratory_system, robotics_cybernetics, security, sensors_data_telescopy, social_care, social_history, social_history_identity, sociology, statistics_data_analysis, surgert_cardiology, systems_infrastructure, theoretical_physics, transport_communications, visual",Cardiff,51.4697688,-3.1649216,Cardiff University,998,"Cardiff Capital Region Board, Ebbw Vale & District Trust, Morganite Electrical Carbon Ltd., Zarlink Semiconductor, Newport Museum & Art Gallery, Deaf Access Cymru (DAC), A Schulman Inc Ltd, The Bevan Foundation, Cwmaman Communities First, Control Techniques Drives Ltd"
153,"chemistry_biochemistry, energy_environmental, environmental_policy, materials, systems_infrastructure",Neath Port Talbot,51.656146,-3.8130292,Sandvik Materials Technology,2,"Sharp Manufacturing Co UK, Alun Griffiths (Contractors) Limited, Corus Strip Products UK, Bangor University, Scanwel Ltd, BIPVCo, Yuasa Battery UK Ltd, Kennametal Sintec Keramik UK Ltd, Glyndwr University"
154,"computer_vision, modelling_measurement, networks",Swansea,51.6671928,-4.0219833,Flooring Technologies Ltd,1,"Metacause Solutions Ltd, Informing Healthcare, Aberystwyth University, Cardiff University"
155,"design_&_heritage, environmental_policy, social_history",Carmarthenshire,51.8082371,-4.0808045,Ynni Da,1,"Design Wales, PDR National Centre for Product  Design, University of Wales Newport, Centre for Regeneration Excellence Wales, Public Health Wales, Welsh National Opera, Cyrff Ystwyth, Butetown History and Arts Centre, Plunkett Foundation, Devon County Council"
156,"design_&_heritage, environment, environmental_policy, evidence_for_policy, social_care, social_history",Neath Port Talbot,51.8009036,-3.8204712,Awel Aman Tawe,2,"Welsh Government, University of Wales, Trinity College Carmarthen, WISERD, WJEC, Y Lolfa Publishers"
157,"economics, evidence_for_policy, sociology",Flintshire,53.1586238,-3.1299842,Deaf Access Cymru (DAC),1,"Trinity College Carmarthen, Welsh Government, Cardiff University, Higher Education Funding Council - Wales, Dwr Cymru Welsh Water, Natural Resources Wales"
158,"law, management, psychology",Cardiff,51.4800351,-3.1792035,Welsh Language Board BYIG WLB,1,"Swansea University, University of Wales, Welsh Government, WISERD, Trinity College Carmarthen, Angela Ash Associates, Bangor University, Magstim Co Ltd (The), Cerebra, University of South Wales"
159,"design_&_heritage, health_social_issues, medieval_modern_history, social_history",Swansea,51.6217485,-3.9521781,Glamorgan-Gwent Archaeological Trust,3,"University of Glamorgan, The National Library of Wales, Newport City Council, Public Health Wales, University of Wales Lampeter, North Abergavenny Communities First"
160,"applications_devices_users, computer_vision, mathematics, modelling_measurement, networks, systems_infrastructure",Caerphilly,51.6856371,-3.1678892,General Dynamics UK Ltd,4,"Swansea University, Aberystwyth University, Bangor University, Zarlink Semiconductor, Harman Becker Automotive Systems, Cardiff University"
161,"agriculture_plant_biology_entomology, archaeology, chemistry_biochemistry, design_&_heritage, energy_environmental, energy_transport_technology, environmental_policy, industrial_application, materials, medieval_modern_history, photonics_imaging_quantum, systems_infrastructure",Wrexham,53.052963,-3.0056395,Glyndwr University,9,"Tidal Energy Limited, Power Units M & E Engineering Ltd, Surface Technology Systems Plc, G-24i, Seren Photonics Ltd, Vale Europe Ltd, Cogent Power Ltd, R-Tech Services Ltd, National Research Network, Nuaire International Ltd"
162,"applications_devices_users, public_engagement_infrastructure, robotics_cybernetics",Swansea,51.6699968,-3.9454451,Drivers & Vehicle Licensing Agency,1,"Techniquest, Aberystwyth University"
163,"energy_environmental, modelling_measurement, prosthetics_robotics_health",Conwy,53.3001338,-3.8161641,Fugro Robertson Limited,1,"Swansea University, Swansea NHS Trust, Morriston Hospital, SPTS Technologies, Natural Resources Wales, Kennametal Sintec Keramik UK Ltd"
164,"design_&_heritage, environmental_policy, media_performance",Ceredigion,52.3945523,-4.0121888,Cyrff Ystwyth,1,"The Do Lectures Ltd, Welsh Government, Public Health Wales NHS Trust, Welsh National Opera, Ynni Da, The National Library of Wales"
165,"networks, security, systems_infrastructure",Cardiff,51.4850514,-3.1658382,Mesuro,1,"Tidal Energy Limited, Power Units M & E Engineering Ltd, Swansea University, Seren Photonics Ltd, LUX-TSI, Qioptiq Ltd, Science Made Simple"
166,"design_&_heritage, philosophy, social_history",Torfaen,51.6536425,-3.00174,Monmouthshire County Council,1,"University of Glamorgan, University of South Wales, Welsh Government, University of Wales, The Do Lectures Ltd, Welsh National Opera, Howard Gardens Gallery, WJEC, University of Wales Newport"
167,"astronomy, cosmology, public_engagement_infrastructure",Cardiff,51.4803328,-3.1728317,SeeScience,1,"University of Glamorgan, WJEC, University of South Wales, University of Wales, Welsh National Opera, We Predict Ltd"
168,"applications_devices_users, energy_transport_technology, prosthetics_robotics_health, public_engagement_infrastructure, robotics_cybernetics, systems_infrastructure",Neath Port Talbot,51.613366,-3.8161766,ABM University NHS Trust,2,"Techniquest, Aberystwyth University"
169,"electronics_transistors, energy_transport_technology, systems_infrastructure",Torfaen,51.7090312,-3.0560214,Wiltan Limited,1,"Swansea University, Bangor University, Morgan Advanced Materials and Technology, MTG Research Ltd, Laser Micromachining Limited, BIPVCo, Welsh Government, OpTIC Glyndwr Ltd, Weartech International Ltd, Science Made Simple"
170,"applications_devices_users, electronics_transistors, energy_environmental, energy_transport_technology, environmental_policy, materials, systems_infrastructure",Newport,51.5720687,-2.944522,Cogent Power Ltd,3,"Bangor University, Nu Instruments Ltd, Scanwel Ltd, Syfer Technology Ltd, Sharp Manufacturing Co UK, Glyndwr University, SPECIFIC (Innovation and Knowledge Ctr), Corus Strip Products UK"
171,"chemistry_biochemistry, energy_environmental, minerals_fuels, systems_infrastructure",Cardiff,51.5018921,-3.1141565,CatScI Ltd,2,"Welsh Government, WISERD, University of Wales, Swansea University, University of Glamorgan, Welsh Local Government Association"
172,"agriculture_plant_biology_entomology, astronomy, astrophysics, bio_informatics, cellular_biology_cancer, cosmology, design_&_heritage, ecosystems, environmental_policy, health_interventions_policy, imaging, particle_physics, photonics_imaging_quantum, public_engagement_infrastructure, sensors_data_telescopy, systems_infrastructure",Denbighshire,53.2559133,-3.4755998,OpTIC Glyndwr Ltd,9,"WJEC, Y Lolfa Publishers, yellobrick, Wiltan Limited, Welsh National Opera, Weartech International Ltd"
173,"design_&_heritage, philosophy, social_history",Monmouthshire,51.8206146,-3.0183092,Abergavenny Museum,1,"University of Glamorgan, University of South Wales, Welsh Government, University of Wales, WJEC, University of Wales Newport, The National Library of Wales"
174,"design_&_heritage, environmental_policy, linguistics",Gwynedd,53.1205873,-4.1152603,National Slate Museum Wales,1,"University of South Wales, Swansea University, Welsh Government, University of Wales, WJEC, Voluntary Arts Network, University of Wales Newport"
175,"applications_devices_users, development_studies, economics, education, energy_environmental, environment, environmental_policy, evidence_for_policy, law, management, prosthetics_robotics_health, psychology, social_care, sociology, systems_infrastructure, visual",Cardiff,51.5275348,-3.1894403,Higher Education Funding Council - Wales,17,"Welsh Government, 3Gs Development Trust, Deaf Access Cymru (DAC), Ebbw Vale & District Trust, The Bevan Foundation, The National Library of Wales, Cwmaman Communities First, Dark Sky Wales Education Services Ltd, University of Wales, WJEC"
176,"environmental_policy, health_interventions_policy, systems_infrastructure",Pembrokeshire,54.5798611,-1.2111864,Svitzer Marine Limited,1,"Swansea University, Suterra UK, Sentomol, Sustainable Energy Ltd, Purolite International Ltd, SPECIFIC (Innovation and Knowledge Ctr)"
177,"environmental_policy, hidrology, systems_infrastructure",Cardiff,51.4753088,-3.1689879,Welsh Local Government Association,1,"Welsh Government, Bangor University, The Emergency Planning Society, Public Health Wales, Atkins Global, Conwy County Borough Council, NavStar Geomatics Ltd, SRK Consulting UK Ltd, Snowdonia National Park Authority, Afonydd Cymru"
178,"applications_devices_users, public_engagement_infrastructure, robotics_cybernetics",Swansea,51.6051325,-4.2129876,Protect 2020 Ltd,1,"EADS Defense and Security Systems Ltd, Techniquest Glyndwr, Organic Centre Wales, Meritor HVBS (UK) Ltd, VocalEyes Digital Democracy, Metacause Solutions Ltd, Informing Healthcare, Techniquest, Aberystwyth University"
179,"ecosystems, environmental_policy, hidrology",Gwynedd,53.1038991,-4.2746951,Welsh Water (Caernarfon),1,"Welsh Government, PetroStrat Ltd, Topcon Great Britain Ltd, Snowdonia National Park Authority, University of Glamorgan, Welsh Local Government Association, Abergavenny Community Centre, Cardiff Metropolitan University, The Emergency Planning Society, Aberystwyth University"
180,"materials, prosthetics_robotics_health, systems_infrastructure",Swansea,51.6096175,-3.9806297,HAEMAIR LTD,1,"Micro Materials Ltd, Micro Materials Limited, Protherics UK Limted, Boots Centre for Innovation BCI, Atraverda Ltd, Abertawe Bro Morgannwg NHS Trust, Kennametal Sintec Keramik UK Ltd, Cardiff University"
181,"agriculture_plant_biology_entomology, applications_devices_users, archaeology, astronomy, astrophysics, bio_informatics, bones_muscles, carbon_greenhouse_pollution, cells_cancer, cellular_biology_cancer, chemistry_biochemistry, classic_religious_history, climate_science, cognition_&_audio, computer_science, computer_vision, cosmology, criminology_violence, cyber_security, data_methods, design_&_heritage, development_studies, disease_infection_health, drug_tests, economics, ecosystems, education, electronics_transistors, energy_environmental, energy_transport_technology, environment, environmental_policy, epidemiology_immunology, evidence_for_policy, experiments, gender_sexuality, geology, health_interventions_policy, health_social_issues, hidrology, imaging, industrial_application, ionisation_plasma, law, linguistics, literature, management, materials, mathematics, media_performance, medieval_modern_history, migration_colonial_history, military_history, minerals_fuels, modelling_&_sensors, modelling_measurement, networks, neurology, neuroscience, nutrition_health, obesity_metabolism, particle_physics, philosophy, photonics_imaging_quantum, political_history, prosthetics_robotics_health, psychiatry_mental_health, psychology, public_engagement_infrastructure, reproduction_fertility, respiratory_system, robotics_cybernetics, security, sensors_data_telescopy, social_care, social_history, social_history_identity, sociology, statistics_data_analysis, surgert_cardiology, systems_infrastructure, theoretical_physics, transport_communications, visual",Swansea,51.6096175,-3.9806297,Swansea University,355,"EADS Defense and Security Systems Ltd, Techniquest Glyndwr, Kennametal Sintec Keramik UK Ltd, Qioptiq Ltd, Heat Pumps South West, Morgan Electroceramics, Alun Griffiths (Contractors) Limited, Organic Centre Wales, Techniquest, VocalEyes Digital Democracy"
182,"applications_devices_users, carbon_greenhouse_pollution, design_&_heritage, ecosystems, energy_environmental, energy_transport_technology, environmental_policy, evidence_for_policy, hidrology, modelling_measurement, networks, security, systems_infrastructure, transport_communications, visual",Caerphilly,51.6523899,-3.2976801,Dwr Cymru Welsh Water,9,"The Bevan Foundation, The Emergency Planning Society, Ebbw Vale & District Trust, Snowdonia National Park Authority, Swansea University, Welsh Local Government Association, Trinity College Carmarthen, Deaf Access Cymru (DAC), PLANED, SRK Consulting UK Ltd"
183,"agriculture_plant_biology_entomology, epidemiology_immunology, modelling_measurement, neuroscience, nutrition_health",Ceredigion,52.4034726,-4.0435845,Hybu Cig Cymru,2,"Swansea University, Sentomol, Lisk & Jones Consultants Ltd, Myco Solutions, Maelor Forest Nurseries Ltd, Public Health Wales NHS Trust"
184,"energy_environmental, energy_transport_technology, social_history, systems_infrastructure",Blaenau Gwent,51.8025906,-3.2338243,Yuasa Battery UK Ltd,2,"Swansea University, University of South Wales, Swansea NHS Trust, Sandvik Materials Technology, Weartech International Ltd, Science Made Simple"
185,"design_&_heritage, electronics_transistors, industrial_application, photonics_imaging_quantum, systems_infrastructure",Vale of Glamorgan,51.4121255,-3.2378335,Dow Corning Ltd,3,"Science Made Simple, Swansea University, Welsh Government, Seren Photonics Ltd, Sony United Kingdom Ltd, Hyder Consulting, LUX-TSI, Qioptiq Ltd"
186,"materials, security, systems_infrastructure",Swansea,51.666361,-3.912232,Morganite Electrical Carbon Ltd.,1,"Cardiff University, Power Units M & E Engineering Ltd, Tidal Energy Limited, Mabey Bridge Ltd, Zarlink Semiconductor, Swansea University"
187,"applications_devices_users, design_&_heritage, health_social_issues, medieval_modern_history, public_engagement_infrastructure, robotics_cybernetics, social_history",Swansea,51.6137188,-3.9483524,City and County of Swansea,4,"University of Glamorgan, The National Library of Wales, Newport City Council, Public Health Wales, University of Wales Lampeter, North Abergavenny Communities First"
188,"bones_muscles, cellular_biology_cancer, modelling_measurement",Ceredigion,52.4335595,-4.0173347,Heat Pumps South West,1,"Swansea University, Suffolk Sire Reference Scheme Limited, Swansea NHS Trust, Welsh Country Foods Ltd, University of Glamorgan, Morriston Hospital"
189,"agriculture_plant_biology_entomology, bio_informatics, environmental_policy",Powys,51.9436689,-3.4148968,Alzeim Ltd,1,"Swansea University, Sentomol, Myco Solutions, Maelor Forest Nurseries Ltd, Natural Resources Wales, Lisk & Jones Consultants Ltd, Centre for Performance Research Ltd"
