,active_in_topic,lad,lat,lon,org,project_count,recommendations
190,"applications_devices_users, networks, systems_infrastructure",Cardiff,51.4899335,-3.1802656,Keima Ltd,1,"Swansea University, Welsh Government, Science Made Simple, Seren Photonics Ltd, Sony United Kingdom Ltd, SPECIFIC (Innovation and Knowledge Ctr)"
191,"computer_science, computer_vision, modelling_measurement",Rhondda Cynon Taf,51.5542894,-3.388744,Royal Mint (The),1,"Swansea University, Aberystwyth University"
192,"chemistry_biochemistry, energy_environmental, photonics_imaging_quantum, systems_infrastructure",Bridgend,51.5177229,-3.4923688,LUX-TSI,3,"International Rectifier, Dow Corning Ltd, Mesuro, Qioptiq Ltd, SPECIFIC (Innovation and Knowledge Ctr), Sony United Kingdom Ltd"
193,"climate_science, environmental_policy, minerals_fuels",Powys,52.6703188,-3.126067,Chemostrat Ltd,1,"University of Wales, Welsh Government, The National Library of Wales, Welsh Water (Caernarfon), Welsh Local Government Association, The Emergency Planning Society"
194,"environmental_policy, materials, systems_infrastructure",Neath Port Talbot,51.5367789,-3.7359532,R-Tech Services Ltd,1,"Sharp Manufacturing Co UK, Bangor University, Scanwel Ltd, Syfer Technology Ltd, Kennametal Sintec Keramik UK Ltd, Glyndwr University, Corus Strip Products UK"
195,"energy_environmental, environmental_policy, systems_infrastructure",Swansea,51.6515322,-3.9139062,Sustainable Energy Ltd,1,"Swansea University, Welsh Government, Neath Port Talbot County, Svitzer Marine Limited, Pulse Medical Technologies Ltd, Econotherm UK Limited, Welsh Automotive Forum, Anglesey Aquaculture Ltd, Purolite International Ltd, Utility Partnership Ltd"
196,"applications_devices_users, bio_informatics, bones_muscles, electronics_transistors, energy_transport_technology, imaging, materials, modelling_measurement, prosthetics_robotics_health, systems_infrastructure",Swansea,51.6092154,-3.9852627,Swansea NHS Trust,7,"Gyrus Medical Ltd, Micro Materials Ltd, Flexicare Medical Limited UK, Fugro Robertson Limited, Micro Materials Limited, Singleton Hospital, Celsa Steel UK, Morvus Technlogy Ltd, Heat Pumps South West, Silage Solutions Pty Ltd"
197,"cosmology, electronics_transistors, ionisation_plasma, photonics_imaging_quantum, prosthetics_robotics_health, public_engagement_infrastructure, sensors_data_telescopy, systems_infrastructure",Cardiff,51.4657448,-3.1936342,QMC Instruments Ltd,3,"WJEC, Welsh Government, Wiltan Limited, WISERD, Welsh National Opera, Weartech International Ltd"
198,"chemistry_biochemistry, energy_environmental, industrial_application, prosthetics_robotics_health, systems_infrastructure",Rhondda Cynon Taf,51.5282224,-3.4254035,Purolite International Ltd,3,"Swansea University, Sony United Kingdom Ltd, Welsh Government, Svitzer Marine Limited, Pulse Medical Technologies Ltd, Utility Partnership Ltd, Welsh Automotive Forum, Sentomol, Sustainable Energy Ltd, Lisk & Jones Consultants Ltd"
199,"chemistry_biochemistry, electronics_transistors, energy_environmental, prosthetics_robotics_health, systems_infrastructure",Cardiff,51.4850514,-3.1658382,Fusion,3,"Swansea University, Mabey Bridge Ltd, Nuaire International Ltd, Tidal Energy Limited"
200,"ecosystems, environmental_policy, visual",Vale of Glamorgan,51.4620784,-3.272063,The Emergency Planning Society,1,"Swansea University, Dwr Cymru Welsh Water, Public Health Wales, University of Wales Lampeter, Welsh Local Government Association, Conwy County Borough Council, Sentomol, NavStar Geomatics Ltd, Snowdonia National Park Authority, Maelor Forest Nurseries Ltd"
201,"design_&_heritage, public_engagement_infrastructure, systems_infrastructure",Cardiff,51.4647829,-3.1631909,Welsh National Opera,1,"National Theatre Wales, Abersychan and Garndiffaith Local Histor, Monmouthshire County Council, yellobrick, Bangor University, Ely & Caerau Communities First, Cyrff Ystwyth, SeeScience, Cynnal Cymru - Sustain Wales, University of Glamorgan"
202,"energy_transport_technology, materials, prosthetics_robotics_health, systems_infrastructure",Wrexham,53.0489897,-3.0141098,Micro Materials Ltd,2,"Swansea NHS Trust, Swansea University, SPTS Technologies, Morriston Hospital, Neath Port Talbot County, Flexicare Medical Limited UK, Kennametal Sintec Keramik UK Ltd, HAEMAIR LTD, Abertawe Bro Morgannwg NHS Trust, Boots Centre for Innovation BCI"
203,"design_&_heritage, environmental_policy, social_history",Cardiff,51.4658325,-3.1670613,Cynnal Cymru - Sustain Wales,1,"Public Health Wales, The Do Lectures Ltd, Welsh Government, Howard Gardens Gallery, Public Health Wales NHS Trust, Welsh National Opera, The National Library of Wales"
204,"chemistry_biochemistry, energy_environmental, energy_transport_technology, photonics_imaging_quantum, systems_infrastructure",Carmarthenshire,51.7800171,-4.0310554,Haydale Limited,3,"Swansea University, University of South Wales, Weartech International Ltd, Vale Europe Ltd, Welsh Government, Sony United Kingdom Ltd"
205,"environment, environmental_policy, sociology",Cardiff,51.4753013,-3.1760288,Plunkett Foundation,1,"Ebbw Vale & District Trust, The Bevan Foundation, Welsh Government, Higher Education Funding Council - Wales, Ynni Da, National Theatre Wales"
206,"education, evidence_for_policy, management, psychology, social_care",Carmarthenshire,51.8583703,-4.3286993,Trinity College Carmarthen,2,"Ebbw Vale & District Trust, The Bevan Foundation, Deaf Access Cymru (DAC), Cwmaman Communities First, Welsh Language Board BYIG WLB, Office for National Statistics, UK Intellectual Property Office, Dwr Cymru Welsh Water, Natural Resources Wales, 3Gs Development Trust"
207,"industrial_application, public_engagement_infrastructure, social_care",Bridgend,51.5049236,-3.5831443,Bridgend County Borough Council,1,"IQE Silicon Compounds Ltd, Higher Education Funding Council - Wales, Iqe (Europe) Ltd, Welsh Government"
208,"chemistry_biochemistry, energy_environmental, photonics_imaging_quantum",Newport,51.5697449,-3.0045259,Plasma & Thermal Coatings Ltd,1,"Swansea University, Bangor University, Aberystwyth University"
209,"agriculture_plant_biology_entomology, epidemiology_immunology, modelling_measurement",Powys,52.2749146,-3.0030864,Suffolk Sire Reference Scheme Limited,1,"Swansea University, Sentomol, Lisk & Jones Consultants Ltd, Myco Solutions, Maelor Forest Nurseries Ltd, Iceland Foods Ltd, Heat Pumps South West, Biocatalysts Ltd, Public Health Wales NHS Trust"
210,"chemistry_biochemistry, electronics_transistors, energy_environmental, photonics_imaging_quantum, systems_infrastructure",Ceredigion,52.045654,-4.3138533,Merck Chemicals Ltd UK,4,"Swansea University, Welsh Government, Seren Photonics Ltd, Qioptiq Ltd, Sony United Kingdom Ltd, Science Made Simple"
211,"design_&_heritage, linguistics, social_history",Ceredigion,52.4872294,-3.9817017,Y Lolfa Publishers,1,"Bangor University, University of Glamorgan, National Waterfront Museum, Swansea University, The National Library of Wales, Abersychan and Garndiffaith Local Histor, OpTIC Glyndwr Ltd, University of South Wales, Aberystwyth University, yellobrick"
212,"industrial_application, prosthetics_robotics_health, systems_infrastructure",Swansea,51.6096175,-3.9806297,Prognomics Ltd,1,"Tidal Energy Limited, Cardiff University, IQE Silicon Compounds Ltd, Swansea University, Power Units M & E Engineering Ltd, Mabey Bridge Ltd"
213,"applications_devices_users, carbon_greenhouse_pollution, climate_science, data_methods, design_&_heritage, ecosystems, environmental_policy, hidrology, mathematics, public_engagement_infrastructure, social_history, systems_infrastructure, transport_communications, visual",Gwynedd,53.172245,-4.0098047,Countryside Council for Wales,10,"Public Health Wales, University of Glamorgan, The Emergency Planning Society, Welsh Local Government Association, SRK Consulting UK Ltd, PLANED"
214,"cognition_&_audio, computer_science, modelling_measurement",Bridgend,51.501963,-3.5400915,Harman Becker Automotive Systems,1,"Swansea University, University of Glamorgan, University of South Wales, Swansea NHS Trust, General Dynamics UK Ltd, Morriston Hospital, Singleton Hospital"
215,"applications_devices_users, public_engagement_infrastructure, robotics_cybernetics",Swansea,51.6096175,-3.9806297,SymlConnect,1,"Techniquest Glyndwr, EADS Defense and Security Systems Ltd, Qioptiq Ltd, Techniquest, Organic Centre Wales, Meritor HVBS (UK) Ltd, VocalEyes Digital Democracy, Informing Healthcare, Metacause Solutions Ltd, Aberystwyth University"
216,"design_&_heritage, electronics_transistors, energy_environmental, environment, health_social_issues, social_history, systems_infrastructure",Ceredigion,52.4022859,-4.045132,Devon County Council,3,"Swansea University, University of Glamorgan, Welsh Government, University of Wales Lampeter, Ynni Da, The National Library of Wales"
217,"archaeology, design_&_heritage, health_social_issues, medieval_modern_history, social_history",Denbighshire,53.1138829,-3.3138956,Denbighshire County Council,2,"University of Glamorgan, Welsh Government, University of Wales Lampeter, University of South Wales, WJEC, Y Lolfa Publishers, National Theatre Wales"
218,"astrophysics, climate_science, ecosystems, energy_transport_technology, environmental_policy, ionisation_plasma",Wrexham,53.0367364,-2.9409094,Nu Instruments Ltd,2,"Cardiff University, Cogent Power Ltd, Swansea University, Aberystwyth University, University of Wales Lampeter"
219,"applications_devices_users, design_&_heritage, medieval_modern_history",Gwynedd,52.9232128,-4.2577991,Literature Wales,1,"Welsh Government, University of Wales, WJEC, University of Wales Lampeter, Y Lolfa Publishers, University of Wales Newport"
220,"design_&_heritage, public_engagement_infrastructure, systems_infrastructure",Ceredigion,52.0711122,-4.6600803,The Do Lectures Ltd,1,"National Theatre Wales, Monmouthshire County Council, Public Health Wales NHS Trust, CWVYS, PDR National Centre for Product  Design, Welsh Government, Howard Gardens Gallery, Cynnal Cymru - Sustain Wales, Cyrff Ystwyth, Ynni Da"
221,"energy_environmental, energy_transport_technology, security",Torfaen,51.634935,-3.0159215,Palmer environmental,5,"Tidal Energy Limited, IQE Silicon Compounds Ltd, Nuaire International Ltd, Swansea University, Power Units M & E Engineering Ltd, Mabey Bridge Ltd"
222,"applications_devices_users, design_&_heritage, social_history",Cardiff,51.4958312,-3.2120957,PDR National Centre for Product  Design,1,"Ynni Da, The Do Lectures Ltd, 3Gs Development Trust, Welsh Government, Public Health Wales NHS Trust, Welsh National Opera, The National Library of Wales"
223,"design_&_heritage, media_performance, systems_infrastructure",Cardiff,51.4782442,-3.2137173,Royal Television Society Wales,1,"University of Glamorgan, Welsh Government, Aberystwyth Arts Centre, University of Wales, WJEC, Y Lolfa Publishers, University of Wales Newport, The National Library of Wales"
224,"networks, photonics_imaging_quantum, systems_infrastructure",Swansea,51.6096175,-3.9806297,Welsh Centre for Printing and Coating,2,"Swansea University, Welsh Government, Science Made Simple, Seren Photonics Ltd, Sony United Kingdom Ltd, SPECIFIC (Innovation and Knowledge Ctr)"
225,"classic_religious_history, computer_science, design_&_heritage, economics, evidence_for_policy, health_interventions_policy, law, management, media_performance, migration_colonial_history, military_history, modelling_measurement, political_history, psychology, public_engagement_infrastructure, robotics_cybernetics, social_care, social_history, social_history_identity, sociology, visual",Newport,51.590843,-2.9977736,University of Wales Newport,9,"Welsh Government, Ynni Da, S4C, Literature Wales, Glamorgan Cricket Club, Ceredigion Museum, University of Wales, Welsh National Opera, National Slate Museum Wales, Monmouthshire County Council"
226,"climate_science, ecosystems, environmental_policy",Newport,51.5857245,-2.9938077,Newport Museum & Art Gallery,1,"Cardiff University, IQE Silicon Compounds Ltd, Swansea University, Welsh Government, Seren Photonics Ltd, National Museum Wales, The National Library of Wales"
227,"applications_devices_users, computer_science, modelling_measurement",Bridgend,51.5124929,-3.5047644,Informing Healthcare,1,"South Wales Police, Hyder Consulting, SymlConnect, Flooring Technologies Ltd, We Predict Ltd, Protect 2020 Ltd, SPECIFIC (Innovation and Knowledge Ctr), Techniquest, Leadin UK"
228,"applications_devices_users, chemistry_biochemistry, design_&_heritage, development_studies, economics, ecosystems, education, energy_environmental, environment, environmental_policy, evidence_for_policy, geology, health_interventions_policy, hidrology, industrial_application, law, linguistics, materials, minerals_fuels, networks, philosophy, political_history, psychology, social_care, social_history, systems_infrastructure, transport_communications, visual",Cardiff,51.4887853,-3.1826701,Welsh Government,24,"Magstim Co Ltd (The), University of Glamorgan, URSULA Agriculture Ltd, Rhyal Engineering Ltd, Cardiff & Vale University Health Board, Environment Systems Limited, NavStar Geomatics Ltd, Snowdonia National Park Authority, Centre for Business & South Wales CoC, yellobrick"
229,"climate_science, environmental_policy, geology",Flintshire,53.1566933,-3.1363643,Reynolds International Ltd,1,"Welsh Government, University of Glamorgan, The Emergency Planning Society, Swansea University, Welsh Local Government Association, Snowdonia National Park Authority"
230,"industrial_application, public_engagement_infrastructure, social_care",Cardiff,51.4753088,-3.1689879,SSIA (Improving Social Care in Wales),1,"IQE Silicon Compounds Ltd, Higher Education Funding Council - Wales, Iqe (Europe) Ltd, Welsh Government"
231,"chemistry_biochemistry, electronics_transistors, energy_environmental, energy_transport_technology, industrial_application, mathematics, photonics_imaging_quantum, prosthetics_robotics_health, security, systems_infrastructure",Cardiff,51.5302806,-3.0929944,Iqe (Europe) Ltd,10,"Welsh Government, Swansea University, IQE Silicon Compounds Ltd, University of South Wales, Wiltan Limited, Vale Europe Ltd, SSIA (Improving Social Care in Wales), Weartech International Ltd, Bridgend County Borough Council"
232,"applications_devices_users, public_engagement_infrastructure, systems_infrastructure",Rhondda Cynon Taf,51.6277271,-3.4120504,Dark Sky Wales Education Services Ltd,1,"Welsh Government, Centre for Regeneration Excellence Wales, Higher Education Funding Council - Wales, Public Health Wales NHS Trust, National Theatre Wales, The National Library of Wales"
233,"architecture_spatial, environmental_policy, social_history",Cardiff,51.4774513,-3.1605901,Community Housing Cymru (CHC),1,"University of Glamorgan, The National Library of Wales, Swansea University, RCAHMW, University of South Wales, University of Wales"
234,"applications_devices_users, design_&_heritage, ecosystems, education, environmental_policy, evidence_for_policy, health_social_issues, hidrology, law, linguistics, management, media_performance, psychology, social_history, sociology, systems_infrastructure, transport_communications, visual",Cardiff,51.4958312,-3.2120957,Cardiff Metropolitan University,13,"Afonydd Cymru, Welsh Water (Caernarfon), We Predict Ltd, WISERD, WJEC, Y Lolfa Publishers, National Theatre Wales, Weartech International Ltd"
235,"computer_science, mathematics, modelling_measurement",Swansea,51.6092154,-3.9852627,Singleton Hospital,1,"Swansea NHS Trust, University of Glamorgan, Morriston Hospital, University of South Wales, Metacause Solutions Ltd, SPECIFIC (Innovation and Knowledge Ctr), Harman Becker Automotive Systems"
236,"agriculture_plant_biology_entomology, environmental_policy, industrial_application",Wrexham,52.9274288,-2.7869512,Maelor Forest Nurseries Ltd,1,"Agroceutical Products, Suffolk Sire Reference Scheme Limited, Hybu Cig Cymru, Innovis Genetics Ltd, Alzeim Ltd, AgriSense-BCS Limited, Welsh Country Foods Ltd, PLANED, Pulse Medical Technologies Ltd, The Emergency Planning Society"
237,"applications_devices_users, design_&_heritage, transport_communications",Swansea,51.5762278,-4.0160228,Gower Optimal Algorithms Ltd,1,"University of South Wales, Welsh Government, University of Glamorgan, University of Wales, We Predict Ltd, Topcon Great Britain Ltd"
238,"agriculture_plant_biology_entomology, epidemiology_immunology, modelling_measurement",Isle of Anglesey,53.2211844,-4.2836797,Welsh Country Foods Ltd,1,"Swansea University, Myco Solutions, Maelor Forest Nurseries Ltd, Sentomol, Lisk & Jones Consultants Ltd, Abertawe Bro Morgannwg University Health Board, Iceland Foods Ltd, Heat Pumps South West, Biocatalysts Ltd, University of Glamorgan"
239,"energy_transport_technology, environmental_policy, systems_infrastructure",Flintshire,53.1739398,-2.9930569,Aerotech Design Consultants Ltd,1,"University of South Wales, Zarlink Semiconductor, Wiltan Limited, Welsh Government, Vale Europe Ltd, Weartech International Ltd"
240,"ageing, agriculture_plant_biology_entomology, applications_devices_users, archaeology, architecture_spatial, astrophysics, bio_informatics, biopharmaceuticals, carbon_greenhouse_pollution, cells_cancer, cellular_biology_cancer, chemistry_biochemistry, classic_religious_history, climate_science, computer_science, computer_vision, data_methods, design_&_heritage, development_studies, disease_infection_health, drug_tests, economics, ecosystems, education, energy_environmental, energy_transport_technology, environment, environmental_policy, epidemiology_immunology, evidence_for_policy, gender_sexuality, geology, health_interventions_policy, health_social_issues, hidrology, imaging, industrial_application, ionisation_plasma, law, linguistics, literature, management, materials, mathematics, media_performance, medieval_modern_history, migration_colonial_history, military_history, minerals_fuels, modelling_&_sensors, modelling_measurement, networks, neurology, neuroscience, nutrition_health, obesity_metabolism, particle_physics, philosophy, photonics_imaging_quantum, prosthetics_robotics_health, psychiatry_mental_health, psychology, public_engagement_infrastructure, reproduction_fertility, social_care, social_history, sociology, statistics_data_analysis, surgert_cardiology, systems_infrastructure, transport_communications, visual",Gwynedd,53.2292191,-4.129498,Bangor University,237,"Y Lolfa Publishers, Morvus Technlogy Ltd, Cogent Power Ltd, Plasma & Thermal Coatings Ltd, Power Units M & E Engineering Ltd, Vale Europe Ltd, National Research Network, Welsh Language Board BYIG WLB, Welsh National Opera, Centre for Performance Research Ltd"
241,"materials, photonics_imaging_quantum, prosthetics_robotics_health, systems_infrastructure",Newport,51.6005988,-2.923081,SPTS Technologies,2,"Fugro Robertson Limited, Micro Materials Ltd, Gyrus Medical Ltd, Flexicare Medical Limited UK, Micro Materials Limited, Boots Centre for Innovation BCI, Abertawe Bro Morgannwg NHS Trust, Atraverda Ltd"
242,"design_&_heritage, environmental_policy, public_engagement_infrastructure",Ceredigion,52.416996,-4.0627241,Centre for Performance Research Ltd,1,"Bangor University, Natural Resources Wales, AgriSense-BCS Limited, Alzeim Ltd"
243,"applications_devices_users, modelling_measurement, networks, systems_infrastructure",Powys,52.6933245,-3.3702126,MTG Research Ltd,2,"Swansea University, Welsh Government, University of South Wales, Wiltan Limited, Vale Europe Ltd, Weartech International Ltd"
244,"environmental_policy, materials, systems_infrastructure",Swansea,51.6096175,-3.9806297,National Research Network,1,"Sharp Manufacturing Co UK, Bangor University, Scanwel Ltd, Syfer Technology Ltd, Kennametal Sintec Keramik UK Ltd, Glyndwr University, Corus Strip Products UK"
245,"electronics_transistors, energy_transport_technology, photonics_imaging_quantum",Caerphilly,51.5704717,-3.2363157,Nuaire International Ltd,1,"Cardiff University, Glyndwr University, A Schulman Inc Ltd, Palmer environmental, Mabey Bridge Ltd, Merlin Circuits, Tidal Energy Limited, IQE Silicon Compounds Ltd, Swansea University, Power Units M & E Engineering Ltd"
246,"design_&_heritage, evidence_for_policy, social_history_identity",Torfaen,51.740735,-3.0689554,Abersychan and Garndiffaith Local Histor,1,"Welsh Government, WJEC, WISERD, Welsh National Opera, Y Lolfa Publishers, University of Wales Lampeter"
247,"design_&_heritage, environmental_policy, linguistics",Rhondda Cynon Taf,51.7161171,-3.4482126,Cynon Valley Museum & Gallery,1,"University of South Wales, Swansea University, Welsh Government, University of Wales, WJEC, University of Wales Newport"
248,"applications_devices_users, astrophysics, design_&_heritage, education, environmental_policy, health_interventions_policy, public_engagement_infrastructure, robotics_cybernetics, sensors_data_telescopy, theoretical_physics, transport_communications, visual",Cardiff,51.4628571,-3.166971,Techniquest,8,"Swansea University, SymlConnect, Drivers & Vehicle Licensing Agency, Accelero Digital Solutions Ltd, Y Lolfa Publishers, Blurrt, South Wales Police, University of Wales, VocalEyes Digital Democracy, URSULA Agriculture Ltd"
249,"applications_devices_users, energy_environmental, industrial_application, photonics_imaging_quantum, systems_infrastructure",Cardiff,51.5046381,-3.0927696,G-24i,5,"IQE Silicon Compounds Ltd, Scanwel Ltd, Glyndwr University, SPECIFIC (Innovation and Knowledge Ctr), Science Made Simple, International Rectifier"
250,"electronics_transistors, energy_environmental, materials, photonics_imaging_quantum, systems_infrastructure",Newport,51.5693245,-2.9480723,Kennametal Sintec Keramik UK Ltd,6,"Swansea University, University of South Wales, Fugro Robertson Limited, Vale Europe Ltd, Micro Materials Ltd, Abertawe Bro Morgannwg NHS Trust, Morriston Hospital, R-Tech Services Ltd, Micro Materials Limited, National Research Network"
251,"energy_transport_technology, materials, systems_infrastructure",Wrexham,53.0497809,-3.0088026,Micro Materials Limited,1,"Swansea NHS Trust, Swansea University, SPTS Technologies, Flexicare Medical Limited UK, Kennametal Sintec Keramik UK Ltd, Atraverda Ltd, Morriston Hospital, HAEMAIR LTD, Gyrus Medical Ltd, Abertawe Bro Morgannwg NHS Trust"
252,"applications_devices_users, networks, statistics_data_analysis",Caerphilly,51.5712445,-3.2043755,Creditsafe Business Solutions Limited,2,"Swansea University, Metacause Solutions Ltd, South Wales Police, Techniquest, SymlConnect, We Predict Ltd"
253,"carbon_greenhouse_pollution, environmental_policy, hidrology",Conwy,53.2841529,-3.8318075,Conwy County Borough Council,1,"Welsh Government, Afonydd Cymru, The Emergency Planning Society, Natural Resources Wales, Swansea University, University of Glamorgan, Welsh Local Government Association, Snowdonia National Park Authority"
254,"applications_devices_users, modelling_measurement, robotics_cybernetics",Torfaen,51.651104,-3.0177574,Meritor HVBS (UK) Ltd,1,"Swansea University, We Predict Ltd, Protect 2020 Ltd, South Wales Police, SymlConnect, Techniquest"
